3,Blackcleave Cliffs
3,Blazemire Verge
4,Blightstep Pathway
2,Blood Crypt
4,Bloodtithe Harvester
1,Blooming Marsh
4,Cauldron Familiar
3,Claim the Firstborn
4,Deadly Dispute
1,Den of the Bugbear
4,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki
4,Fatal Push
1,Fountainport
4,Mayhem Devil
4,Overgrown Tomb
4,Scavenger's Talent
1,"Sokenzan, Crucible of Defiance"
3,Swamp
4,Witch's Oven
2,"Ygra, Eater of All"
2,Duress
2,Go Blank
1,Pawpatch Formation
3,Redcap Melee
4,Thoughtseize
1,Torch the Tower
2,Wilt
