4,"Beza, the Bounding Spring"
4,Demolition Field
4,Deserted Beach
4,Dovin's Veto
1,"Eiganjo, Seat of the Empire"
2,Farewell
4,Field of Ruin
2,Fountainport
2,Get Out
2,Hall of Storm Giants
4,Hallowed Fountain
4,Hengegate Pathway
4,Island
2,Make Disappear
4,March of Otherworldly Light
4,Memory Deluge
4,No More Lies
1,"Otawara, Soaring City"
4,Plains
4,Portable Hole
4,Restless Anchorage
1,Sunken Citadel
4,Wrath of God
3,"Teferi, Hero of Dominaria"
4,The Wandering Emperor
2,Aether Gust
4,Change the Equation
4,High Noon
4,Spell Pierce
1,"Yorion, Sky Nomad"
