1,Brazen Borrower // Petty Theft
4,Darkslick Shores
2,Enduring Curiosity
4,Faerie Miscreant
4,Fatal Push
4,Floodpits Drowner
3,Gloomlake Verge
2,Go for the Throat
3,Island
4,"Kaito, Bane of Nightmares"
4,Mockingbird
4,Moon-Circuit Hacker
4,Crawling Barrens
1,"Otawara, Soaring City"
1,Spell Pierce
2,Spyglass Siren
4,Thoughtseize
1,Thousand-Faced Shadow
3,Underground River
1,"Urborg, Tomb of Yawgmoth"
4,Watery Grave
2,Aether Gust
3,Anoint with Affliction
1,Cut Down
2,Duress
1,Gix's Command
3,Leyline of the Void
1,"Sheoldred, the Apocalypse"
2,Spell Pierce
