2,Adarkar Wastes
3,Caves of Koilos
4,Concealed Courtyard
4,Darkslick Shores
2,Entity Tracker
3,Fear of Isolation
1,Go for the Throat
4,Hopeless Nightmare
2,"Kaito, Bane of Nightmares"
1,Momentum Breaker
4,Nowhere to Run
4,Nurturing Pixie
4,Optimistic Scavenger
1,Overlord of the Balemurk
2,Restless Anchorage
4,Seachrome Coast
1,Spell Pierce
4,Stormchaser's Talent
3,Sunpearl Kirin
1,Swamp
4,This Town Ain't Big Enough
3,Underground River
2,Authority of the Consuls
2,Destroy Evil
2,Duress
2,Ghost Vacuum
1,Loran of the Third Path
1,Momentum Breaker
2,No More Lies
2,Temporary Lockdown
1,The Witch's Vanity
