4,Abhorrent Oculus
1,Abrade
2,Adarkar Wastes
2,Battlefield Forge
4,Fear of Missing Out
1,Glacial Dragonhunt
4,Helping Hand
4,Inspiring Vantage
1,Into the Flood Maw
1,Island
4,Marauding Mako
1,Mountain
4,Proft's Eidetic Memory
4,Seachrome Coast
1,Sheltered by Ghosts
4,Shivan Reef
2,Spell Pierce
4,Spirebluff Canal
2,Spyglass Siren
4,Steamcore Scholar
2,Tersa Lightshatter
3,Torch the Tower
1,Winternight Stories
1,Abrade
2,Destroy Evil
1,Disdainful Stroke
1,Get Lost
2,Ghost Vacuum
1,Loran of the Third Path
1,Negate
1,No More Lies
1,"Ral, Crackling Wit"
1,Sheltered by Ghosts
2,The Filigree Sylex
1,Winternight Stories
