1,Bitter Triumph
4,Blackcleave Cliffs
2,Blade of the Oni
4,Blazemire Verge
4,Blood Crypt
4,Bloodtithe Harvester
1,Castle Locthwain
2,Duress
4,Fable of the Mirror-Breaker // Reflection of Kiki-Jiki
3,Fabled Passage
4,Fatal Push
4,Fear of Missing Out
2,Mountain
4,Crawling Barrens
3,"Sheoldred, the Apocalypse"
3,Swamp
4,Thoughtseize
3,Torch the Tower
4,Unholy Annex // Ritual Chamber
1,Abrade
1,Anoint with Affliction
1,Bitter Triumph
1,Cling to Dust
1,Duress
2,Extinction Event
2,Feed the Swarm
2,Go Blank
2,Invoke Despair
1,"Alesha, Who Laughs at Fate"
1,Torch the Tower
