2,Analyze the Pollen
2,"Beza, the Bounding Spring"
2,Day of Judgment
1,Elspeth's Smite
3,Floodfarm Verge
1,Forest
2,Get Lost
3,Hedge Maze
4,Hushwood Verge
1,Island
4,Leyline Binding
4,Lush Portico
4,Overlord of the Hauntwoods
4,Overlord of the Mistmoors
1,Plains
2,Razorverge Thicket
3,Ride's End
3,Shadowy Backstreet
1,Swamp
3,Temporary Lockdown
4,Up the Beanstalk
2,Wastewood Verge
4,"Zur, Eternal Schemer"
1,"Beza, the Bounding Spring"
1,"Elesh Norn, Mother of Machines"
1,Elspeth's Smite
2,Heritage Reclamation
3,High Noon
2,Negate
2,Obstinate Baloth
1,Pawpatch Formation
1,Rakshasa's Bargain
1,Rest in Peace
