1,"Aclazotz, Deepest Betrayal // Temple of the Dead"
2,Blade of the Oni
3,Castle Locthwain
1,Duress
4,Fatal Push
2,Field of Ruin
4,Gifted Aetherborn
2,Go for the Throat
4,Graveyard Trespasser // Graveyard Glutton
2,Invoke Despair
3,Liliana of the Veil
2,Murderous Rider // Swift End
4,Crawling Barrens
2,"Sheoldred, the Apocalypse"
15,Swamp
4,Thoughtseize
4,Unholy Annex // Ritual Chamber
1,"Urborg, Tomb of Yawgmoth"
2,Duress
2,Extinction Event
1,Go Blank
2,Invoke Despair
1,"Bloodthirsty Conqueror"
3,Leyline of the Void
1,Nowhere to Run
1,The Meathook Massacre
2,Withering Torment
